"Obs. Date","Obs. value","Series key","Indicator title","Units","Obs. status"
"2010-02","1.30","MIR.M.U2.B.L22.G.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2010-03","2.17","MIR.M.U2.B.L22.G.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2010-04","2.49","MIR.M.U2.B.L22.G.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2010-05","2.04","MIR.M.U2.B.L22.G.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2010-06","1.92","MIR.M.U2.B.L22.G.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2010-07","1.46","MIR.M.U2.B.L22.G.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2010-08","1.09","MIR.M.U2.B.L22.G.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2010-09","2.01","MIR.M.U2.B.L22.G.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2010-10","1.81","MIR.M.U2.B.L22.G.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2006-04","71.84","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2006-05","84.38","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2006-06","87.15","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2006-07","89.71","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
